Archivo,Metrica_Left,Metrica_Right
appass_1.mid,3,4
appass_2.mid,4,5
appass_3.mid,3,3
beethoven_hammerklavier_1.mid,6,4
beethoven_hammerklavier_2.mid,9,4
beethoven_hammerklavier_3.mid,4,5
beethoven_hammerklavier_4.mid,3,3
beethoven_les_adieux_1.mid,5,3
beethoven_les_adieux_2.mid,3,2
beethoven_les_adieux_3.mid,4,4
beethoven_opus10_1.mid,4,4
beethoven_opus10_2.mid,4,5
beethoven_opus10_3.mid,4,4
beethoven_opus22_1.mid,5,5
beethoven_opus22_2.mid,2,2
beethoven_opus22_3.mid,3,2
beethoven_opus22_4.mid,4,4
beethoven_opus90_1.mid,7,3
beethoven_opus90_2.mid,4,3
elise.mid,6,3
mond_1.mid,5,1
mond_2.mid,4,5
mond_3.mid,7,5
pathetique_1.mid,9,6
pathetique_3.mid,5,2
waldstein_1.mid,5,3
waldstein_2.mid,4,5
waldstein_3.mid,4,0
